Time,How much time it takes to perform the task,,,,,,,SLA Weight Table,,,,,
Importance,How much value the category is in general,,,,,,,Factor,Weight,Reason,,,
Customer Weight,External are more valuable as they are buying customers,,,,,,,Importance,0.5,Business impact,,,
Priority Score,Final value the system should check (refer to priority table),,,,,,,Customer Weight,0.3,External first,,,This must be shown at the SLA table page
,,,,,,,,Time,0.2,Finish fast,,,
,,,,,,,,,,,,,
,,,,,,,,Formula,,Additional Notes,,,Override rules
,,,,,,,,Let T = Time,,Time = Value is measured by how fast. Small means quick and Big means long,,,If I >= 9 & C >= 8
,,,,,,,,Let I = Importance,,,,,P = 9
,,,,,,,,Let C = Customer Weight,,Importance = Value is measured on impact. Small means not concern and Big means concerning,,,If C >=9 & I >= 7
,,,,,,,,Let P = Priority Score,,,,,P = 8
,,,,,,,,P = (0.5I) + (0.3C) + (0.2(11 - T)),,,,,
,,,,,,,,,,,,,
Category,Department,Time,Importance,,Customer,Weight,,Priority Score,,,,,
System access,IT,10,8,,Internal,8,,8.40,, ,,,
Network or router troubleshooting,IT,7,8,,External,9,,7.80,,,,,
Hardware or software installation,IT,2,2,,,,,3.80,,,,,
Malfunctioning PCs or peripherals,IT,3,6,,,,,6.00,,,,,
Email configuration errors,IT,3,8,,,,,7.00,  ,,,,
Coordination with other departments,IT,2,4,,,,,4.80,,,,,
System Audit,IT,2,2,,,,,3.80,,,,,
Maintenance,IT,2,2,,,,,3.80,,,,,
ERP entry errors,Finance,6,9,,,,,8.10,,,,,
Biling or reconciliation disputs,Finance,8,8,,,,,8.00,,,,,
payment verification issues,Finance,3,8,,,,,7.00,,,,,
report generation errors,Finance,2,5,,,,,5.30,,,,,
Financial data sync issues,Finance,1,5,,,,,5.10,,,,,
Warranty validation errors,Engineering,3,5,,,,,5.50,,,,,
Delayed ticket for servicing items,Engineering,5,2,,,,,4.40,,,,,
Product serial verification,Engineering,2,3,,,,,4.30,,,,,
Approval for replacement items,Engineering,5,5,,,,,5.90,,,,,
Onboarding or offboarding system acces,HR,2,3,,,,,4.30,,,,,
Employee account creation,HR,2,3,,,,,4.30,,,,,
Password recovery,HR,2,7,,,,,6.30,,,,,
Attendance record discrepancies,HR,2,3,,,,,4.30,,,,,
Inventory record inconsistencies,Warehouse,3,5,,,,,5.50,,,,,
Missing stock entries,Warehouse,2,3,,,,,4.30,,,,,
Damaged item reports,Warehouse,8,5,,,,,6.50,,,,,
Delayed shipment arrivals,Warehouse,3,5,,,,,5.50,,,,,
Batch tagging errors,Production,8,8,,,,,8.00,,,,,
System synchronization lag,Production,2,1,,,,,3.30,,,,,
Staff scheduling module malfunction,Production,2,2,,,,,3.80,,,,,
Equipment maintenance,Production,2,2,,,,,3.80,,,,,
Customer inquiry updates,Sales,1,1,,,,,3.40,,,,,
Warraty record assistance,Sales,4,4,,,,,5.50,,,,,
System geerated report errors,Sales,3,5,,,,,5.80,,,,,
Customer profile updates,Sales,2,2,,,,,4.10,,,,,
Wrong delivery or Update issues,Shipping,9,10,,,,,9.50,,,,,
Missing items,Shipping,8,8,,,,,8.30,,,,,
Delivery confirmation requests,Shipping,2,2,,,,,4.10,,,,,
Logistics coordination,Shipping,2,2,,,,,4.10,,,,,
Furniture,Facilities,1,1,,,,,3.10,,,,,
Lighting,Facilities,3,5,,,,,5.50,,,,,
Plumbing,Facilities,5,8,,,,,7.40,,,,,
Airconditioning,Facilities,5,5,,,,,5.90,,,,,
Renovation,Facilities,3,6,,,,,6.00,,,,,
Electrical,Facilities,7,8,,,,,7.80,,,,,
Other,IT,1,1,,,,,3.10,,,,,
Other,Finance,1,1,,,,,3.10,,,,,
Other,Engineering,1,1,,,,,3.10,,,,,
Other,HR,1,1,,,,,3.10,,,,,
Other,Warehouse,1,1,,,,,3.10,,,,,
Other,Production,1,1,,,,,3.10,,,,,
Other,Sales,1,1,,,,,3.40,,,,,
Other,Shipping,1,1,,,,,3.40,,,,,
Other,Facilities,1,1,,,,,3.10,,,,,
